script_0001 귀
script_0002 남
script_0003 해
script_0004 밀
script_0005 옷
script_0006 잔
script_0007 댁
script_0008 겁
script_0009 시
script_0010 병
script_0011 소
script_0012 점
script_0013 키
script_0014 앞
script_0015 무
script_0016 논
script_0017 자
script_0018 글
script_0019 용
script_0020 겉
script_0021 다
script_0022 뜰
script_0023 피
script_0024 상
script_0025 네
script_0026 벌
script_0027 추
script_0028 만
script_0029 죄
script_0030 일
script_0031 구
script_0032 삼
script_0033 도
script_0034 알
script_0035 꽃
script_0036 연
script_0037 달
script_0038 혀
script_0039 녹
script_0040 김
script_0041 약
script_0042 덕
script_0043 조
script_0044 군
script_0045 잎
script_0046 폐
script_0047 꿈
script_0048 터
script_0049 샘
script_0050 능
script_0051 난
script_0052 위
script_0053 죽
script_0054 더
script_0055 값
script_0056 모
script_0057 금
script_0058 효
script_0059 성
script_0060 빛
script_0061 서
script_0062 날
script_0063 깨
script_0064 잠
script_0065 표
script_0066 눈
script_0067 길
script_0068 코
script_0069 숯
script_0070 오
script_0071 강
script_0072 외
script_0073 장
script_0074 대
script_0075 육
script_0076 미
script_0077 솔
script_0078 벼
script_0079 담
script_0080 처
script_0081 띠
script_0082 전
script_0083 늘
script_0084 양
script_0085 회
script_0086 겹
script_0087 인
script_0088 답
script_0089 노
script_0090 불
script_0091 목
script_0092 계
script_0093 실
script_0094 애
script_0095 널
script_0096 안
script_0097 쑥
script_0098 종
script_0099 음
script_0100 국
script_0101 마
script_0102 봄
script_0103 이
script_0104 농
script_0105 학
script_0106 들
script_0107 간
script_0108 컵
script_0109 새
script_0110 등
script_0111 개
script_0112 징
script_0113 손
script_0114 유
script_0115 밤
script_0116 예
script_0117 십
script_0118 얼
script_0119 쥐
script_0120 또
script_0121 파
script_0122 너
script_0123 맛
script_0124 끼
script_0125 틀
script_0126 나
script_0127 곳
script_0128 운
script_0129 덤
script_0130 주
script_0131 침
script_0132 억
script_0133 후
script_0134 당
script_0135 매
script_0136 신
script_0137 뼈
script_0138 낫
script_0139 교
script_0140 발
script_0141 저
script_0142 굴
script_0143 꾀
script_0144 살
script_0145 님
script_0146 왕
script_0147 곰
script_0148 면
script_0149 열
script_0150 산
script_0151 두
script_0152 공
script_0153 말
script_0154 넋
script_0155 방
script_0156 힘
script_0157 야
script_0158 짐
script_0159 그
script_0160 차
script_0161 읍
script_0162 수
script_0163 돌
script_0164 넷
script_0165 검
script_0166 놀
script_0167 한
script_0168 포
script_0169 의
script_0170 섬
script_0171 은
script_0172 때
script_0173 사
script_0174 집
script_0175 배
script_0176 솜
script_0177 화
script_0178 절
script_0179 뇌
script_0180 귤
script_0181 여
script_0182 칼
script_0183 씨
script_0184 돈
script_0185 엿
script_0186 꿀
script_0187 막
script_0188 비
script_0189 궁
script_0190 단
script_0191 요
script_0192 빵
script_0193 늪
script_0194 옥
script_0195 재
script_0196 탈
script_0197 기
script_0198 멋
script_0199 우
script_0200 엄마랑 동물원에 갔습니다
script_0201 기차를 타고 여행을 떠나요
script_0202 집 안이 너무 조용해요
script_0203 수박은 너무 달콤해요
script_0204 동화책을 읽고 싶어요
script_0205 개미는 오늘도 열심히 일합니다
script_0206 다람쥐가 밤을 먹고 있어요
script_0207 바른 자세로 공부합시다
script_0208 바람이 불어오니 시원하네요
script_0209 선생님께 인사를 드려요
script_0210 강아지가 공원에서 신나게 뛰어다녀요
script_0211 종이에 베여서 피가 많이 나요
script_0212 바다를 바라보니 마음이 편안해요
script_0213 생쥐는 사자보다 작고 연약해요
script_0214 어부가 한가롭게 바다에서 낚시를 해요
script_0215 낮잠을 잠깐 자도 피곤합니다
script_0216 어른들께 예의바르게 인사를 드립시다
script_0217 깊은 산골에 도깨비가 살고 있어요
script_0218 너무 시끄러워서 고막이 터질 것 같아요
script_0219 뜨거운 주전자에 손이 데일 수 있어요
script_0220 도화지에 크레파스로 자동차 그림을 그렸어요
script_0221 배우는 실감나게 연기를 정말 잘했어요
script_0222 다람쥐는 날카로운 발톱으로 나무를 잘 타요
script_0223 내가 상을 받았다는 것이 실감이 나지 않아요
script_0224 같은 말을 여러 차례 반복해서 학습합시다
script_0225 토끼는 소나 말처럼 되새김질을 하지 못해요
script_0226 안개가 자욱이 끼어서 앞이 보이지 않아요
script_0227 지도에서 동서남북 표시로 위치를 알 수 있어요
script_0228 김치에는 옛 어른들의 지혜가 담겨 있답니다
script_0229 과학관에서 다양한 체험을 하는 것이 재밌었어요
script_0230 공장에서는 신발이나 자동차같이 공업 제품들을 생산합니다
script_0231 이 곳은 출입이 금지된 구역이니 돌아가 주세요
script_0232 소설을 읽을 때에는 작가의 배경에 대한 지식이 필요합니다
script_0233 역사 속에는 옛날 조상들의 삶의 모습이 담겨있어요
script_0234 다른 사람들의 말을 경청하는 습관을 가집시다
script_0235 다른 사람의 기분은 아랑곳하지 않고 자리에 앉았어요
script_0236 친구들과 함께 딱지치기하며 놀았던 그 때가 아직도 생생합니다
script_0237 골고루 음식을 섭취해야 다양한 영양소를 얻을 수 있어요
script_0238 소란스러운 분위기 속에 나는 열심히 책을 읽고 있었습니다
script_0239 그렇게 막연하게만 이야기하지 말고 확실하게 말해줘
script_0240 성장기의 청소년들은 근육과 골격이 급속도로 발달합니다
script_0241 우리나라는 높은 수준의 경제성장을 통해 선진국이 되었습니다
script_0242 건전한 비판은 좋지만 무분별한 비난은 거절합니다
script_0243 둘도 없는 친구 사이에 싸움이 일어났지만 곧 화해했어요
script_0244 주장을 할 때에는 항상 근거를 들어야 합니다
script_0245 소비를 하는 것은 좋지만 무분별한 낭비는 좋지 않아요
script_0246 아빠가 자동차의 속도를 일정하게 유지하기 시작했어요
script_0247 최대한 병이 손상되지 않게 조심스럽게 뚜껑을 열었다
script_0248 태풍으로 인해 수도관이 터져서 물이 나오지 않습니다
script_0249 바람은 씨앗을 먼 곳으로 옮기는 매체 가운데 하나이다
script_0250 친구들아 친구들아
script_0251 안녕 안녕
script_0252 친구들도 반갑다고
script_0253 선생님 선생님
script_0254 안녕하세요
script_0255 만나서 반갑구나
script_0256 개굴 개굴
script_0257 개구리가 웁니다
script_0258 삐약 삐약
script_0259 병아리가 노래합니다
script_0260 음매 음매
script_0261 송아지가 반갑다고 인사합니다
script_0262 야옹 야옹
script_0263 고양이도 반갑다고 대답합니다
script_0264 송아지 낮잠에 푹 들었어요
script_0265 지나가던 잠자리가 툭툭 건드려도
script_0266 몰라요 몰라요 잠을 자네요
script_0267 뭐가 그리 졸린지
script_0268 마을 사람 노래불러도
script_0269 어느 더운 여름날
script_0270 위잉 위잉
script_0271 선풍기가 돌아가요
script_0272 빙글빙글 돌아가는
script_0273 선풍기 날개
script_0274 어지러워요
script_0275 선풍기 지쳐서
script_0276 툭 멈췄어요
script_0277 갑자기 땀이 주르륵
script_0278 호호 불어서
script_0279 따끈따끈할 때
script_0280 입안에 쏙
script_0281 따뜻하고 달콤한
script_0282 맛있는 군고구마
script_0283 아이고 덥다 더워
script_0284 아이스크림 먹고 싶어요
script_0285 엄마 엄마
script_0286 아까도 먹었자나
script_0287 오늘은 그만
script_0288 그래도 그래도
script_0289 아이스크림 먹고싶어요
script_0290 매일매일 하루하루
script_0291 차곡차곡 적었어요
script_0292 오늘은 맛있는거 먹었어요
script_0293 오늘은 친구랑 싸웠어요
script_0294 좋은일도 슬픈일도
script_0295 함께 있는 일기장
script_0296 나무야 나무야
script_0297 너는 키가 왜 이리 크니
script_0298 키가 커서 참 좋겠다
script_0299 나도 나도
script_0300 빨리 빨리 키 크고 싶다
script_0301 어서 어서
script_0302 키 큰 어른이 되고 싶다
script_0303 조용한 아침에
script_0304 살랑살랑 떨어지는 단풍
script_0305 빨간색 노란색
script_0306 아이고 예쁘다
script_0307 예쁜거 주워서
script_0308 친구한테 줘야지
script_0309 펑펑 눈이 옵니다
script_0310 하늘에서 새하얀 가루가 내립니다
script_0311 손으로 만져보니
script_0312 차갑습니다
script_0313 꼭꼭 뭉쳐서
script_0314 눈사람을 만들어 봅니다
script_0315 아주아주 자그마한
script_0316 누가 누가 먼저 클까
script_0317 너무너무 궁금해요
script_0318 하루 종일 기다리면
script_0319 꼬리가 나오겠지
script_0320 언제쯤이면 콩이 달릴까
script_0321 키가 더 자라나면
script_0322 강낭콩을 볼 수 있겠지
script_0323 옹기종기 책들이
script_0324 모여서 이야기한다
script_0325 나를 읽어봐
script_0326 방긋 웃는다
script_0327 알았어 너를 읽을게
script_0328 내가 쓴 글씨는
script_0329 구불구불 지렁이 같고
script_0330 언니가 쓴 글씨는
script_0331 반듯하니 그림같네
script_0332 나도 열심히 연습해서
script_0333 언니처럼 잘 써야지
script_0334 쨍쨍하던 하늘에서
script_0335 비가 내리기 시작합니다
script_0336 땅 속에 지렁이도
script_0337 개울가에 개구리도
script_0338 오랜만에 봄비를 맞고
script_0339 신나게 춤을 춥니다
script_0340 밤하늘에 달이 홀로 떠 있습니다
script_0341 조용하게 외로이
script_0342 자세히 보니 별들도 있습니다
script_0343 달 옆에서 밤하늘을 밝힙니다
script_0344 함께 다같이
script_0345 해바라기야
script_0346 너는 무엇 때문에
script_0347 해를 따라다니니
script_0348 나는
script_0349 따뜻한 햇님이 좋단다
script_0350 무슨 일이 있어도
script_0351 방긋 웃는
script_0352 커다란 햇님이 좋단다
script_0353 친구랑 색종이 한 장 때문에
script_0354 친구랑 음료수 한 모금 때문에
script_0355 말싸움을 했다
script_0356 너가 잘못했어
script_0357 아니야 너가 잘못했어
script_0358 씩씩대던 우리는
script_0359 선생님 앞에서
script_0360 화해를 했다
script_0361 내가 잘못했어
script_0362 아니야 내가 잘못했어
script_0363 기다란 것이
script_0364 앞에는 까만 게 달려서
script_0365 글씨를 쓸 수 있고
script_0366 뒤에는 지우개가 달려서
script_0367 잘못 쓴 것을 지울 수 있네
script_0368 누가 이런 걸 만들었을까
script_0369 봐도 봐도 신기한
script_0370 기다란 연필
script_0371 하얀 도화지로
script_0372 모두모두 모여라
script_0373 호랑이도 코끼리도 기린도
script_0374 동글동글 알맹이
script_0375 보라색 동그라미
script_0376 껍질 속에 숨겨진
script_0377 달콤한 알맹이
script_0378 터지고 쭈글쭈글해도
script_0379 모두모두 포도 알맹이
script_0380 가늘고 긴 막대기 끝에
script_0381 모가 기다란 것이
script_0382 삐쭉삐쭉 솟아있는 내 칫솔
script_0383 치약을 묻혀서
script_0384 구석구석
script_0385 음식물을 닦아내는
script_0386 고마운 칫솔
script_0387 어째서일까
script_0388 헝클어진 칫솔이
script_0389 안타까운 것은
script_0390 네모나고 조그만 화면 속에
script_0391 오밀조밀 모여있는 아이콘들
script_0392 이걸 누르면 재미난 동영상이
script_0393 이걸 누르면 뿅뿅뿅뿅 게임이
script_0394 이것저것 하다 보면
script_0395 쏜살같이 지나가는 시간
script_0396 스마트폰 그만해라
script_0397 어느새 들려오는 엄마 목소리
script_0398 아쉽지만 내려놓은 스마트폰
script_0399 짧은 다리 부지런히 움직이며
script_0400 어디론가 향하는 개미떼
script_0401 입에는 각자 좁쌀 하나씩 물고
script_0402 줄을 지어 차례대로
script_0403 어디로 가고 있나
script_0404 궁금해서 따라가 보면
